,Descripción,Unidad,Precio,$,Tipo
729,BOVEDILLA POLIESTIRENO 20@50/1M/D10/LS,PZA,"8,21",,BOVEDILLA DE POLIESTIRENO (4)
730,BOVEDILLA POLIESTIRENO 12@50/1M/D12/LS,PZA,"5,67",,BOVEDILLA DE POLIESTIRENO (4)
731,BOVEDILLA POLIESTIRENO 15@50/1M/D12/LS,PZA,"7,08",,BOVEDILLA DE POLIESTIRENO (4)
732,BOVEDILLA POLIESTIRENO 20@50/1M/D12/LS,PZA,"9,45",,BOVEDILLA DE POLIESTIRENO (4)
733,BOVEDILLA POLIESTIRENO 12@50/1M/D15/LS,PZA,"7,7",,BOVEDILLA DE POLIESTIRENO (4)
734,BOVEDILLA POLIESTIRENO 15@50/1M/D15/LS,PZA,"9,63",,BOVEDILLA DE POLIESTIRENO (4)
735,BOVEDILLA POLIESTIRENO 20@50/1M/D15/LS,PZA,"12,83",,BOVEDILLA DE POLIESTIRENO (4)
736,"Precios unitarios no incluyen IGV. (1) Precio puesto en Planta Villa (2) precio puesto en fábrica de ladrillos (3) precio 
puesto en planta ancieta  (4) precio puesto en obra",,,,"Precios unitarios no incluyen IGV. (1) Precio puesto en Planta Villa (2) precio puesto en fábrica de ladrillos (3) precio 
puesto en planta ancieta  (4) precio puesto en obra"
737,DUCTO DE CONCRETO P/CABLEADO ELECT. Y TELEFÓNICO,,,,"Precios unitarios no incluyen IGV. (1) Precio puesto en Planta Villa (2) precio puesto en fábrica de ladrillos (3) precio 
puesto en planta ancieta  (4) precio puesto en obra"
738,"DUCTO DE CONC P/CABLEADO ELECT. Y TELEF 2 VIAS SIMPLE 1.00 X 
M
16,58
0.25 X 0.15 ML Ø 90 MM",,,,"Precios unitarios no incluyen IGV. (1) Precio puesto en Planta Villa (2) precio puesto en fábrica de ladrillos (3) precio 
puesto en planta ancieta  (4) precio puesto en obra"
739,"DUCTO DE CONC P/CABLEADO ELECT. Y TELEF 4 VIAS SIMPLE 1.00 X 
M
22,8
0.25 X 0.25 ML Ø 90 MM.",,,,"Precios unitarios no incluyen IGV. (1) Precio puesto en Planta Villa (2) precio puesto en fábrica de ladrillos (3) precio 
puesto en planta ancieta  (4) precio puesto en obra"
740,"DUCTO DE CONC ALIGERADO P/CABLEADO ELECT. Y TELEF 4 VIAS 
M
27,46
SIMPLE 1.00 X 0.25 X 0.25 ML Ø 90 MM.",,,,"Precios unitarios no incluyen IGV. (1) Precio puesto en Planta Villa (2) precio puesto en fábrica de ladrillos (3) precio 
puesto en planta ancieta  (4) precio puesto en obra"
741,CERCOS PREFABRICADOS,,,,"Precios unitarios no incluyen IGV. (1) Precio puesto en Planta Villa (2) precio puesto en fábrica de ladrillos (3) precio 
puesto en planta ancieta  (4) precio puesto en obra"
742,"UND
71,5
CERCOS PREF UNI 2.40X0.28X0.15 M+0.35 ANCLAJE FEØ8MM",,,,"Precios unitarios no incluyen IGV. (1) Precio puesto en Planta Villa (2) precio puesto en fábrica de ladrillos (3) precio 
puesto en planta ancieta  (4) precio puesto en obra"
743,"UND
181,34
CERCOS PREF AEROPUERTO 2.70X0.45X0.10 M",,,,"Precios unitarios no incluyen IGV. (1) Precio puesto en Planta Villa (2) precio puesto en fábrica de ladrillos (3) precio 
puesto en planta ancieta  (4) precio puesto en obra"
744,"M
98,44
CERCOS PREF TIPO LISTOS PLACAS H=2.40 (INLUYE POSTE Y PLACA)",,,,"Precios unitarios no incluyen IGV. (1) Precio puesto en Planta Villa (2) precio puesto en fábrica de ladrillos (3) precio 
puesto en planta ancieta  (4) precio puesto en obra"
745,"M
129,53
CERCOS PREF TIPO LISTOS PLACAS  H=3.00",,,,"Precios unitarios no incluyen IGV. (1) Precio puesto en Planta Villa (2) precio puesto en fábrica de ladrillos (3) precio 
puesto en planta ancieta  (4) precio puesto en obra"
746,POSTES DE CONCRETO PARA CERCO DE ALAMBRE,,,,"Precios unitarios no incluyen IGV. (1) Precio puesto en Planta Villa (2) precio puesto en fábrica de ladrillos (3) precio 
puesto en planta ancieta  (4) precio puesto en obra"
747,"UND
73
POSTE CONCRETO P/CERCOS RECTO 3.00 X 0.14 X 0.14 M",,,,"Precios unitarios no incluyen IGV. (1) Precio puesto en Planta Villa (2) precio puesto en fábrica de ladrillos (3) precio 
puesto en planta ancieta  (4) precio puesto en obra"
748,"UND
88,08
POSTE CONCRETO P/CERCOS RECTO 3.50 X 0.14 X 0.14 M",,,,"Precios unitarios no incluyen IGV. (1) Precio puesto en Planta Villa (2) precio puesto en fábrica de ladrillos (3) precio 
puesto en planta ancieta  (4) precio puesto en obra"
749,"UND
73
POSTE CONCRETO P/CERCOS PTA QUEBRADA 3.00 X 0.14 X 0.14 M",,,,"Precios unitarios no incluyen IGV. (1) Precio puesto en Planta Villa (2) precio puesto en fábrica de ladrillos (3) precio 
puesto en planta ancieta  (4) precio puesto en obra"
750,"UND
88,08
POSTE CONCRETO P/CERCOS PTA QUEBRADA 3.50 X 0.14 X 0.14 M",,,,"Precios unitarios no incluyen IGV. (1) Precio puesto en Planta Villa (2) precio puesto en fábrica de ladrillos (3) precio 
puesto en planta ancieta  (4) precio puesto en obra"
751,VALVULAS VARIOS,,,,VALVULAS VARIOS
752,INDUCTOR DE ESPUMA EN LÍNEA PORTÁTIL 450 LPM CERTIFICACION  FM,PZA,1076.27,,VALVULAS VARIOS
753,"VÁLVULA DE COMPUERTA (OS&Y)  CLASE 125 & CLASE 150, 300 PSI, 4""",PZA,254.24,$,VALVULAS VARIOS
754,"VÁLVULA DE COMPUERTA (OS&Y)  CLASE 125 & CLASE 150, 300 PSI, 6""",PZA,406.78,$,VALVULAS VARIOS
755,"SWING CHECK VALVE 4"" 300 PSI UL/FM",PZA,237.29,$,VALVULAS VARIOS
756,"SWING CHECK VALVE  6""  300  PSI  UL/FM",PZA,415.25,$,VALVULAS VARIOS
757,"VALVULA DE MARIPOSA RANURADAS 4"" 300 PSI UL/FM",PZA,211.86,$,VALVULAS VARIOS
758,"VALVULA DE MARIPOSA RANURADAS 6"" 300 PSI UL/FM",PZA,254.24,$,VALVULAS VARIOS
759,"HIDRANTE DE COLUMNA SECA TRES VÍAS 6"" 250 PSI UL/FM",PZA,1694.92,$,VALVULAS VARIOS
760,"HIDRANTE DE COLUMNA SECA TRES VÍAS CON BASE PARA MONITOR 
6"" 250 PSI UL/FM",PZA,2118.64,$,VALVULAS VARIOS
761,"HIDRANTE DE COLUMNA SECA DOS VÍAS 4"" P/NACIONAL",PZA,423.73,$,VALVULAS VARIOS
762,"VALVULA DE DILUVIO (SIN PILOTO ACELERADOR) 4"" UL",PZA,3813.56,$,VALVULAS VARIOS
763,"VALVULA DE DILUVIO (CON PILOTO ACELERADOR) 4"" UL",PZA,4406.78,$,VALVULAS VARIOS
764,"VALVULA DE ALIVIO Y SEGURIDAD 4"" UL",PZA,3415.25,$,VALVULAS VARIOS
765,MONITORES INDUSTRIALES 1250 GPM - FM,PZA,2118.64,$,VALVULAS VARIOS
766,MONITORES INDUSTRIALES 2500 GPM - FM,PZA,2966.1,$,VALVULAS VARIOS
767,OTROS,,,,OTROS
768,"ROCIADOR DE AGUA DE ESPUMA - F1, ACERO INOXIDABLE 1/2 
CERTIFICACION UL/FM",PZA,127.12,,OTROS
769,"BOQUILLA DE PULVERIZACIÓN DE VELOCIDAD MEDIA  1/2   K79-120º, 
CERTIFICACION  UL/FM",PZA,55.51,,OTROS
770,"BOQUILLA DE PULVERIZACIÓN DE VELOCIDAD MEDIA  1/2 BRONCE, 
K102-140, CERTIFICACION  UL/FM",PZA,63.98,,OTROS
771,"MONITOR  80 NB BRONCE , 1000 GPM, CONEXIÓN DE SALIDA 3""NH) 
CERTIFICACION  UL",PZA,2372.88,,OTROS
772,"BOQUILLA DE CHORRO MAESTRO 1000 GPM PARA MONITOR 3¨ NH  
CERTIFICACION  UL",PZA,932.2,,OTROS
773,"BOQUILLA AUTOINDUCTOR CHORRO MAESTRO 750 GPM PARA 
MONITOR 3¨ NH  CERTIFICACION  UL",PZA,1186.44,,OTROS
774,"VALVULA COMPUERTA  6´ NRS CON BASE PARA POSTE INDICADOR 
VERTICAL UL/FM",PZA,1271.19,,OTROS
775,POSTE INDICADOR VERTICAL 6¨ PULGADAS  UL/FM,PZA,1271.19,,OTROS
776,"CÁMARA DE ESPUMA FCA  3"" X 6""  UL/FM",PZA,2542.37,,OTROS
777,"CÁMARA DE ESPUMA FCA 4"" X 8""  UL/FM",PZA,4661.02,,OTROS
778,"CÁMARA DE ESPUMA FCA 2.5"" X 4"" (UL/FM",PZA,2118.64,,OTROS
779,UNIDAD MOVIL DE ESPUMA 160 LITROS UL/FM,PZA,3813.56,,OTROS
780,ROPA Y ACCESORIOS PARA BOMBEROS,,,,ROPA Y ACCESORIOS PARA BOMBEROS
781,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 6 LIBRAS - USA - 
PZA
211.86
NARANJA",,,,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 6 LIBRAS - USA - 
PZA
211.86
NARANJA"
782,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 6 LIBRAS - USA - 
PZA
211.86
LIMA",,,,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 6 LIBRAS - USA - 
PZA
211.86
LIMA"
783,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 6 LIBRAS - USA - 
PZA
211.86
ROJA",,,,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 6 LIBRAS - USA - 
PZA
211.86
ROJA"
784,"M
450
BARRERAS  NEW JERSEY H=1.80M",,,,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 6 LIBRAS - USA - 
PZA
211.86
ROJA"
785,"M
320
BARRERAS  NEW JERSEY H=0.80M",,,,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 6 LIBRAS - USA - 
PZA
211.86
ROJA"
786,"UND
80
HITO PIRAMIDAL 0.40X0.40X0.60M AMARILLO TRAFICO",,,,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 6 LIBRAS - USA - 
PZA
211.86
ROJA"
787,"UND
290
HITO PIRAMIDAL 0.60X0.60X0.60M C/PERNOS DE ANCLAJE GALV.",,,,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 6 LIBRAS - USA - 
PZA
211.86
ROJA"
788,BLOQUETAS DE CONCRETO,,,,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 6 LIBRAS - USA - 
PZA
211.86
ROJA"
789,"PZA
2,1
BLOQUE CONCRETO LISO 19X19X39CM ENTERO NATURAL",,,,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 6 LIBRAS - USA - 
PZA
211.86
ROJA"
790,"PZA
1,76
BLOQUE CONCRETO LISO 14X19X39CM ENTERO NATURAL",,,,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 6 LIBRAS - USA - 
PZA
211.86
ROJA"
791,"PZA
1,53
BLOQUE CONCRETO LISO 12X19X39CM ENTERO NATURAL",,,,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 6 LIBRAS - USA - 
PZA
211.86
ROJA"
792,"PZA
1,42
BLOQUE CONCRETO LISO   9X19X39CM ENTERO NATURAL",,,,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 6 LIBRAS - USA - 
PZA
211.86
ROJA"
793,BLOCK GRASS,,,,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 6 LIBRAS - USA - 
PZA
211.86
ROJA"
794,"M2
27,45
BLOCK PARA ESTACIONAMIENTOS GRASS MICHI  35 X 35 X 9 CM.",,,,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 6 LIBRAS - USA - 
PZA
211.86
ROJA"
795,"MLL
559,32
LADRILLO DE CONCRETO 13X9X22CM",,,,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 6 LIBRAS - USA - 
PZA
211.86
ROJA"
796,No incluye traslado a obra. No incluye IGV.,,,,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 6 LIBRAS - USA - 
PZA
211.86
ROJA"
797,CUBIERTAS TERMOACÚSTICA,,,,CUBIERTAS TERMOACÚSTICA
798,CUBIERTA AJOVER MAX TRAPEZOIDAL A360,ML,"10,57",$,CUBIERTAS TERMOACÚSTICA
799,CUBIERTA AJOVER SUPER TRAPEZOIDAL A360,ML,"12,76",$,CUBIERTAS TERMOACÚSTICA
800,CUBIERTA AJOVER EXTRA TRAPEZOIDAL A360,ML,"13,95",$,CUBIERTAS TERMOACÚSTICA
801,CUBIERTA AJOVER MADRILEÑA,ML,"13,95",$,CUBIERTAS TERMOACÚSTICA
802,CUBIERTA ONDULADA,ML,"10,57",$,CUBIERTAS TERMOACÚSTICA
803,CUBIERTA ONDULADA SUPER,ML,"12,76",$,CUBIERTAS TERMOACÚSTICA
804,CUBIERTA ONDULADA EXTRA,ML,"13,95",$,CUBIERTAS TERMOACÚSTICA
805,CUBIERTA TRASLÚCIDAS EN POLICARBONATO,,,,CUBIERTA TRASLÚCIDAS EN POLICARBONATO
806,"ML
15
$
CUBIERTA DE POLICARBONATO TRAPEZOIDAL A360 NG5 0.82X3.6M",,,,"ML
15
$
CUBIERTA DE POLICARBONATO TRAPEZOIDAL A360 NG5 0.82X3.6M"
807,ACCESORIOS CUBIERTAS,,,,ACCESORIOS CUBIERTAS
808,"ML
10,57
$
CABELLETE TRAPEZOIDAL",,,,"ML
10,57
$
CABELLETE TRAPEZOIDAL"
809,"ML
10,57
$
LIMATESA TRAPEZOIDAL",,,,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
810,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 8 LIBRAS - USA - 
NARANJA",PZA,296.61,,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
811,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 8 LIBRAS - USA - 
LIMA",PZA,296.61,,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
812,"HACHA MANGO FIBRA DE VIDRIO DE CORTE Y PICO 8 LIBRAS - USA - 
AMARILLO",PZA,296.61,,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
813,"HERRAMIENTA  HALLIGAN DE 20""  - USA",PZA,169.49,,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
814,"HERRAMIENTA  HALLIGAN DE 24""  - USA",PZA,296.61,,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
815,"HERRAMIENTA  HALLIGAN DE 30""  - USA",PZA,322.03,,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
816,"HERRAMIENTA  HALLIGAN DE 36""  - USA",PZA,355.93,,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
817,"HERRAMIENTA  HALLIGAN DE 42""  - USA",PZA,355.93,,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
818,"ESTRUCTURAL  UL CHAQUETÓN, PANTALÓN, TIRANTS 1971- 2018",PZA,2245.76,,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
819,"HACHA PARA BOMBERO DE CORTE Y PICO 36 HICKORY 6 LBS (MANGO 
DE FIBRA VIDRIO)",PZA,211.86,,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
820,APROXIMACION PARA  BOMBEROS  UL,PZA,3601.69,,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
821,HACHA  PULASKI  AMERICANO,PZA,127.12,,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
822,HERRAMIENTA FORESTAL MCLEOD,PZA,186.44,,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
823,PALA PARA EXTINCIÓN DE INCENDIOS 48,PZA,127.12,,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
824,"BRIGADISTA - CHAQUETÓN, PANTALÓN, TIRANTES, GUANTES, 
ESCAFANDRA,	CASCO,	BOTA Y	MOCHILA",JGO,3813.56,$,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
825,"PROFESIONAL UL - CHAQUETÓN, PANTALÓN, TIRANTES, GUANTES, 
ESCAFANDRA,	CASCO,	BOTA Y	MOCHILA",JGO,1271.19,$,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
826,"PROFESIONAL UL - CHAQUETÓN, PANTALÓN, TIRANTES, GUANTES, 
ESCAFANDRA Y MOCHILA",JGO,1864.41,$,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
827,HERRAMIENTA DE HALLIGAN LONGITUD 36,PZA,338.98,$,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
828,MATAFUEGOS PARA INCENDIOS FORESTALES,PZA,127.12,$,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
829,"HACHA PARA BOMBERO DE CORTE Y PICO 36 HICKORY 6 LBS (MANGO 
DE MADERA)",PZA,101.69,$,"ML
10,57
$
LIMATESA TRAPEZOIDAL"
830,MANGUERAS CONTRA INCENDIO UL/FM,,,,MANGUERAS CONTRA INCENDIO UL/FM
831,"MANGUERA C-INC. POLIESTER 1.1/2""X30MTS. BRONCE DE 250 PSI. 
PZA
84.75
$
UL/FM",,,,"MANGUERA C-INC. POLIESTER 1.1/2""X30MTS. BRONCE DE 250 PSI. 
PZA
84.75
$
UL/FM"
832,"MANGUERA C-INC. POLIESTER 2.1/2""X30MTS. BRONCE DE 250 PSI. 
PZA
296.61
$
UL/FM",,,,"MANGUERA C-INC. POLIESTER 2.1/2""X30MTS. BRONCE DE 250 PSI. 
PZA
296.61
$
UL/FM"
