,Descripción,Unidad,Precio,$,Tipo
1550,SUSP. TERCIARIA DECO NEGRA 0.61 (CJX75),CJA,"139,12",,SUSPENSIONES
1551,SUSP. PRINCIPAL CLIQ NEGRA 3.66 (CJA X 20),CJA,"344,52",,SUSPENSIONES
1552,SUSP. SECUNDAR CLIQ NEGRA 1.22 (CJA X 60),CJA,"321,16",,SUSPENSIONES
1553,SUSP. TERCIARIA CLIQ NEGRA 0.61 (CJA X 60),CJA,"160,65",,SUSPENSIONES
1554,Precios referenciales. Los precios del mercado son menores a esta lista,,,,Precios referenciales. Los precios del mercado son menores a esta lista
1555,TOPOGRAFIA,,,,Precios referenciales. Los precios del mercado son menores a esta lista
1556,"HA
80
$
LEVANTAMIENTO TOPOGRAFICO POR HECTAREA",,,,Precios referenciales. Los precios del mercado son menores a esta lista
1557,"KM
500
$
LEVANTAMIENTO TOPOGRAFICO POR KM DE CARRETERA",,,,Precios referenciales. Los precios del mercado son menores a esta lista
1558,"UND
25
$
ELABORACION DE PLANOS PERIMETRICOS Y DE UBICACIÓN",,,,Precios referenciales. Los precios del mercado son menores a esta lista
1559,"D
75
$
ALQUILER DE ESTACION TOTAL CON OPERADOR",,,,Precios referenciales. Los precios del mercado son menores a esta lista
1560,FOTOGRAMETRIA,,,,Precios referenciales. Los precios del mercado son menores a esta lista
1561,"HA
15
$
LEVANTAMIENTO CON DRONE PHAMTON 4 PRO",,,,Precios referenciales. Los precios del mercado son menores a esta lista
1562,"HA
15
$
PROCESAMIENTO DE FOTOS PARA OBTENCION DE ORTOMOSAICO",,,,Precios referenciales. Los precios del mercado son menores a esta lista
1563,"HA
15
$
EDICION Y OBTENCION DE CURVAS DE NIVEL",,,,Precios referenciales. Los precios del mercado son menores a esta lista
1564,"D
250
$
MARCA Y LECTURA PUNTOS DE FOTOCONTROL POR DIA",,,,Precios referenciales. Los precios del mercado son menores a esta lista
1565,"D
120
$
ALQUILER DE DRONE CON OPERADOR",,,,Precios referenciales. Los precios del mercado son menores a esta lista
1566,"D
80
$
RESTITUCION FOTOGRAMETRICA",,,,Precios referenciales. Los precios del mercado son menores a esta lista
1567,GEODESIA,,,,Precios referenciales. Los precios del mercado son menores a esta lista
1568,"PTO
300
$
ESTABLECIMIENTO DE PUNTOS GEODESICOS",,,,Precios referenciales. Los precios del mercado son menores a esta lista
1569,"PTO
20
$
PROCESAMIENTO DE PUNTOS GEODESICOS",,,,Precios referenciales. Los precios del mercado son menores a esta lista
1570,"PTO
200
$
ALQUILER DGPS METODO RTK CON OPERADOR",,,,Precios referenciales. Los precios del mercado son menores a esta lista
1571,"D
120
$
ALQUILER DGPS ESTATICO CON OPERADOR",,,,Precios referenciales. Los precios del mercado son menores a esta lista
1572,"UND
30
$
PLACA DE BRONCE DE PUNTO GEODESICO",,,,Precios referenciales. Los precios del mercado son menores a esta lista
1573,BATIMETRIA,,,,Precios referenciales. Los precios del mercado son menores a esta lista
1574,"D
1300
$
LEVANTAMIENTO BATIMETRICO CON ECOSONDA MONOHAZ",,,,Precios referenciales. Los precios del mercado son menores a esta lista
1575,"HA
100
$
PROCESAMIENTO Y GENERACION DE CURVAS HIPSOMETRICAS",,,,Precios referenciales. Los precios del mercado son menores a esta lista
1576,LIDAR,,,,Precios referenciales. Los precios del mercado son menores a esta lista
1577,"D
1500
$
LEVANTAMIENTO CON LIDAR AEREO/ MATRICE 300 RTK",,,,Precios referenciales. Los precios del mercado son menores a esta lista
1578,"HA
20
$
CLASIFICACION DE NUBE, DTM, CURVAS",,,,Precios referenciales. Los precios del mercado son menores a esta lista
1579,No incluye IGV.,,,,Precios referenciales. Los precios del mercado son menores a esta lista
1580,VÁLVULAS,,,,VÁLVULAS
1581,CHECK C/ CANASTILLA 2 1/2'' BRONCE CIM VALVE,PZA,"225,63",,VÁLVULAS
1582,CHECK C/ CANASTILLA 2'' BRONCE CIM VALVE,PZA,"136,16",,VÁLVULAS
1583,CHECK C/CANASTILLA 1 1/2'' BRONCE CIM VALVE,PZA,"97,12",,VÁLVULAS
1584,"CHECK C/ CANASTILLA 1 1/4"" BRONCE CIM VALVE",PZA,"77,09",,VÁLVULAS
1585,CHECK C/CANASTILLA 1'' BRONCE CIM CIM VALVE,PZA,"54,6",,VÁLVULAS
1586,CHECK C/ CANASTILLA 3/4'' BRONCE CIM VALVE,PZA,"45,74",,VÁLVULAS
1587,CHECK C/ CANASTILLA 1/2'' BRONCE CIM VALVE,PZA,"38,46",,VÁLVULAS
1588,CHECK C/RES. 2'' CIM VALVE,PZA,"152,92",,VÁLVULAS
1589,CHECK C/RES. 1 1/2'' CIM VALVE,PZA,"110,99",,VÁLVULAS
1590,CHECK C/RES. 1 1/4'' CIM VALVE,PZA,"72,14",,VÁLVULAS
1591,CHECK C/RES. 1'' CIM VALVE,PZA,"46,34",,VÁLVULAS
1592,CHECK C/RES. 3/4'' CIM VALVE,PZA,"30,76",,VÁLVULAS
1593,CHECK C/RES. 1/2'' CIM VALVE,PZA,"21,03",,VÁLVULAS
1594,CHECK VERT. HORIZ. 2'' CIM VALVE,PZA,"165,83",,VÁLVULAS
1595,CHECK VERT. HORIZ. 1'' CIM VALVE,PZA,"59,1",,VÁLVULAS
1596,CHECK VERT. HORIZ. 3/4'' CIM VALVE,PZA,"39,88",,VÁLVULAS
1597,CHECK VERT. HORIZ. 1/2'' CIM VALVE,PZA,"33,68",,VÁLVULAS
1598,VALVULA CHECK SWING NEOPRENE 4'' CIM VALVE,PZA,"730,34",,VÁLVULAS
1599,VALVULA CHECK SWING NEOPRENE 3'' CIM VALVE,PZA,"413,9",,VÁLVULAS
1600,VALVULA CHECK SWING NEOPRENE 2 1/2'' CIM VALVE,PZA,"324,75",,VÁLVULAS
1601,VALVULA CHECK SWING NEOPRENE 2'' CIM VALVE,PZA,"176,86",,VÁLVULAS
1602,VALVULA CHECK SWING NEOPRENE 1 1/2'' CIM VALVE,PZA,"138,07",,VÁLVULAS
1603,VALVULA CHECK SWING NEOPRENE 1 1/4'' CIM VALVE,PZA,"98,98",,VÁLVULAS
1604,VALVULA CHECK SWING NEOPRENE 1'' CIM VALVE,PZA,"72,14",,VÁLVULAS
1605,VALVULA CHECK SWING NEOPRENE 3/4'' CIM VALVE,PZA,"47,58",,VÁLVULAS
1606,VALVULA CHECK SWING NEOPRENE 1/2'' CIM VALVE,PZA,"32,88",,VÁLVULAS
1607,VALVULA ESFERICA LIVIANA 2'' CIM VALVE,PZA,"130,51",,VÁLVULAS
1608,VALVULA ESFERICA LIVIANA 1 1/2'' CIM VALVE,PZA,"85,42",,VÁLVULAS
1609,VALVULA ESFERICA LIVIANA 1 1/4'' CIM VALVE,PZA,"49,83",,VÁLVULAS
1610,VALVULA ESFERICA LIVIANA 1'' CIM VALVE,PZA,"31,46",,VÁLVULAS
1611,VALVULA ESFERICA LIVIANA 1/2'' CIM VALVE,PZA,"15,12",,VÁLVULAS
1612,VALVULA ESFERICA PESADA 4'' CIM VALVE,PZA,"875,76",,VÁLVULAS
1613,VALVULA ESFERICA PESADA 3'' CIM VALVE,PZA,"518,15",,VÁLVULAS
1614,VALVULA ESFERICA PESADA 2 1/2'' CIM VALVE,PZA,"364,24",,VÁLVULAS
1615,VALVULA ESFERICA PESADA 2'' CIM VALVE,PZA,"173,73",,VÁLVULAS
1616,VALVULA ESFERICA PESADA 1 1/2'' CIM VALVE,PZA,"114,93",,VÁLVULAS
1617,VALVULA ESFERICA PESADA 1 1/4'' CIM VALVE,PZA,"74,07",,VÁLVULAS
1618,MADERAS,,,,MADERAS
1619,MADERA OCOTE 2X10 2X12 4X10 4X12,P2,4.8,,MADERAS
1620,MADERA ROBLE SELECTO 8' - 10' - 12',P2,2.75,,MADERAS
1621,MADERA TORNILLO COMERCIAL HASTA 12' DE LARGO,P2,5.8,,MADERAS
1622,MADERA COPAIBA COMERCIAL HASTA 12' DE LARGO,P2,3.7,,MADERAS
1623,MADERA CACHIMBO 13' A MAS,P2,4.05,,MADERAS
1624,"MADERA CACHIMBO 11"" DE ANCHO A MAS",P2,4.05,,MADERAS
1625,MADERA CACHIMBO HASTA 12' DE LARGO,P2,3.7,,MADERAS
1626,MADERA COPAIBA 11' DE ANCHO A MÁS,P2,4.05,,MADERAS
1627,MADERA COPAIBA 13' A MAS,P2,4.05,,MADERAS
1628,MADERA TORNILLO LARGO DE 13' A MAS,P2,6.3,,MADERAS
1629,MADERA TORNILLO SECO AL HORNO (SEGUN STOCK),P2,6.4,,MADERAS
1630,"MADERA TORNILLO 11"" DE ANCHO A MÁS",P2,6.3,,MADERAS
1631,MADERA NACIONAL PANGUANA - COMERCIAL,P2,3.2,,MADERAS
1632,"TUCOS DE MADERA DURA  12"" X 12"" NUEVOS PEDIDOS",P2,5.2,,MADERAS
1633,"DURMIENTES 6"" X 8""",P2,3.8,,MADERAS
1634,MADERA NACIONAL PANGUANA  DE ANCHO 11' A MAS,P2,3.5,,MADERAS
1635,MADERA ROBLE SELECTO HASTA 12' DE LARGO,P2,2.75,,MADERAS
1636,MADERA ROBLE SELECTO 11' DE ANCHO A MÁS,P2,3,,MADERAS
1637,MADERA PINO OCOTE IMPORTADO HABILITADO Y SECO,P2,2.75,,MADERAS
1638,"TUCOS DE MADERA DURA 12"" X 12"" STOCK ANTIGUO",P2,4.8,,MADERAS
1639,TRIPLAY NACIONAL DE LUPUNA / CAPINURI / IMPORTADO,,,,TRIPLAY NACIONAL DE LUPUNA / CAPINURI / IMPORTADO
1640,"PZA
22.5
TRIPLAY CAPINURI 4´X 8´ X 4 MM IND.",,,,"PZA
22.5
TRIPLAY CAPINURI 4´X 8´ X 4 MM IND."
1641,"PZA
19.7
TRIPLAY OKUME 4´ X 8´ X 3.0 MM CARPINTERIA A/D",,,,"PZA
19.7
TRIPLAY OKUME 4´ X 8´ X 3.0 MM CARPINTERIA A/D"
1642,"PZA
23.5
TRIPLAY LUPUNA 4´X8´X4 MM IND.",,,,"PZA
23.5
TRIPLAY LUPUNA 4´X8´X4 MM IND."
1643,"PZA
24.4
TRIPLAY LUPUNA 4´X8´X4 MM B/C",,,,"PZA
24.4
TRIPLAY LUPUNA 4´X8´X4 MM B/C"
1644,TRIPLAY LUPUNA 4´X8´X10 MM B/C,PZA,54,,"PZA
24.4
TRIPLAY LUPUNA 4´X8´X4 MM B/C"
1645,TRIPLAY LUPUNA 4´X8´X6 MM B/C,PZA,35.2,,"PZA
24.4
TRIPLAY LUPUNA 4´X8´X4 MM B/C"
1646,TRIPLAY LUPUNA 4´X8´X8 MM B/C,PZA,44.6,,"PZA
24.4
TRIPLAY LUPUNA 4´X8´X4 MM B/C"
1647,TRIPLAY LUPUNA 4´X8´X9 MM B/C,PZA,47,,"PZA
24.4
TRIPLAY LUPUNA 4´X8´X4 MM B/C"
1648,TRIPLAY CAPINURI 4´X 8´ X 18 MM,PZA,84,,"PZA
24.4
TRIPLAY LUPUNA 4´X8´X4 MM B/C"
1649,TRIPLAY LUPUNA 4´X8´X18 MM,PZA,84,,"PZA
24.4
TRIPLAY LUPUNA 4´X8´X4 MM B/C"
1650,TRIPLAY DOBLE FILM FENÓLICO 4'X8'X18MM ESTANDAR,PZA,90.7,,"PZA
24.4
TRIPLAY LUPUNA 4´X8´X4 MM B/C"
1651,"TRIPLAY 4' X 8' X 15 MM BC, PINO FENÓLICO",PZA,73,,"PZA
24.4
TRIPLAY LUPUNA 4´X8´X4 MM B/C"
1652,TRIPLAY DOBLE FILM FENÓLICO 4'X8'X18MM ECOPANEL,PZA,86.7,,"PZA
24.4
TRIPLAY LUPUNA 4´X8´X4 MM B/C"
1653,TRIPLAY DOBLE FILM FENÓLICO 4'X8'X18MM PREMIUM,PZA,94.7,,"PZA
24.4
TRIPLAY LUPUNA 4´X8´X4 MM B/C"
1654,TRIPLAY PINO FENÓLICO 4'X8'X18MM B/B-IMP.,PZA,90.7,,"PZA
24.4
TRIPLAY LUPUNA 4´X8´X4 MM B/C"
1655,TRIPLAY PVC FILM 2 CARAS 4'X8'X18MM,PZA,129,,"PZA
24.4
TRIPLAY LUPUNA 4´X8´X4 MM B/C"
1656,"TRIPLAY 4' X 8' X 18 MM BC, PINO FENÓLICO",PZA,"84,00",,"PZA
24.4
TRIPLAY LUPUNA 4´X8´X4 MM B/C"
1657,PARIHUELAS,,,,PARIHUELAS
1658,"UND
44
PARIHUELA 3/4"" X 1.00 X 1.20 MT",,,,"UND
44
PARIHUELA 3/4"" X 1.00 X 1.20 MT"
1659,"UND
70
PARIHUELA TIPO EAN 1.00 X 1.20 MT",,,,"UND
70
PARIHUELA TIPO EAN 1.00 X 1.20 MT"
1660,PISOS ESTRUCTURADOS,,,,PISOS ESTRUCTURADOS
1661,"PZA
20
$
PISOS ESTRUCTURADOS 10MM X 150MM X 1.8M",,,,"PZA
20
$
PISOS ESTRUCTURADOS 10MM X 150MM X 1.8M"
1662,SERVICIOS,,,,SERVICIOS
1663,"P2
0.6
SERVICIO DE SECADO AL HORNO",,,,"P2
0.6
SERVICIO DE SECADO AL HORNO"
1664,"P2
1.2
SERVICIO DE MACHIEMBRADO",,,,"P2
1.2
SERVICIO DE MACHIEMBRADO"
1665,"P2
0.4
SERVICIO DE TRATAMIENTO TERMICO",,,,"P2
0.4
SERVICIO DE TRATAMIENTO TERMICO"
1666,"PZA
2.5
SERVICIO DE TRATAMIENTO TÉRMICO POR PARIHUELA EAN",,,,"PZA
2.5
SERVICIO DE TRATAMIENTO TÉRMICO POR PARIHUELA EAN"
1667,VIGAS H20,,,,VIGAS H20
1668,"M
32
VIGAS H20 1.80M - 3.60M - 4.2M - 4.8M",,,,"M
32
VIGAS H20 1.80M - 3.60M - 4.2M - 4.8M"
1669,"La lista de precios incluye  aserrio, corte y cepillado en Lima Metropolitana a partir de 1000",,,,"La lista de precios incluye  aserrio, corte y cepillado en Lima Metropolitana a partir de 1000"
1670,ADITIVO SELLADOR DE JUNTAS,,,,ADITIVO SELLADOR DE JUNTAS
1671,"ADHESIVO Y SELLANTE DE JUNTAS -CHEMA JUNTA FLEX 100 FC GRIS 
L
13,98
- CARTUCHO 300 ML",,,,"ADHESIVO Y SELLANTE DE JUNTAS -CHEMA JUNTA FLEX 100 FC GRIS 
L
13,98
- CARTUCHO 300 ML"
1672,"ADHESIVO Y SELLANTE DE JUNTAS -CHEMA JUNTA FLEX 100 FC GRIS 
L
24,49
- MANGA 600 ML",,,,"ADHESIVO Y SELLANTE DE JUNTAS -CHEMA JUNTA FLEX 100 FC GRIS 
L
24,49
- MANGA 600 ML"
1673,ADITIVO PEGAMENTO Y ADHESIVO,,,,ADITIVO PEGAMENTO Y ADHESIVO
1674,PEGAMENTO CHEMAYOLIC EN PASTA DE 1 GL,GAL,"52,12",,ADITIVO PEGAMENTO Y ADHESIVO
1675,PEGAMENTO CHEMAYOLIC BLANCO FLEXIBLE - 25 KG,BLS,"31,27",,ADITIVO PEGAMENTO Y ADHESIVO
1676,PEGAMENTO CHEMAYOLIC BLOCK VIDRIO - 10 KG,KG,"32,12",,ADITIVO PEGAMENTO Y ADHESIVO
1677,"PEGAMENTO CHEMAYOLIC CERAMICOS PORCELANATOS Y GRES 
PORCELAN-25 KG",BLS,"20,25",,ADITIVO PEGAMENTO Y ADHESIVO
1678,"PEGAMENTO CHEMAYOLIC EXTERIORES PORCELANATOS Y GRES 
PORCELAN-25KG",BLS,"22,80",,ADITIVO PEGAMENTO Y ADHESIVO
1679,PEGAMENTO CHEMAYOLIC EXTRAFUERTE - 25 KG,BLS,"26,19",,ADITIVO PEGAMENTO Y ADHESIVO
1680,PEGAMENTO SANSON BLANCO FLEXIBLE X 25 KG.,BLS,"25,34",,ADITIVO PEGAMENTO Y ADHESIVO
1681,PEGAMENTO SANSON EXTRAFUERTE X 25 KG.,BLS,"22,80",,ADITIVO PEGAMENTO Y ADHESIVO
1682,PEGAMENTO CHEMAYOLIC INTERIORES -25KG,BLS,"14,32",,ADITIVO PEGAMENTO Y ADHESIVO
1683,PEGAMENTO SANSON X 25 KG.,BLS,"10,93",,ADITIVO PEGAMENTO Y ADHESIVO
1684,ADITIVO CURADOR,,,,ADITIVO CURADOR
1685,"GAL
56,78
CURADOR MEMBRANIL REFORZADO P/CONCRETO - 5 GALONES",,,,"GAL
56,78
CURADOR MEMBRANIL REFORZADO P/CONCRETO - 5 GALONES"
1686,"GAL
21,19
CURADOR MEMBRANIL VISTA  P/CONCRETO - 1 GALON",,,,"GAL
21,19
CURADOR MEMBRANIL VISTA  P/CONCRETO - 1 GALON"
1687,ADITIVO DESMOLDANTE,,,,ADITIVO DESMOLDANTE
1688,"GAL
118,64
DESMOLDANTE P/ENCOFRADO DE MADERA 1GAL - CHEMALAC",,,,"GAL
118,64
DESMOLDANTE P/ENCOFRADO DE MADERA 1GAL - CHEMALAC"
1689,"GAL
83,90
DESMOLDANTE P/ENCOFRADO DE MADERA 1GAL - CHEMALAC EXTRA",,,,"GAL
83,90
DESMOLDANTE P/ENCOFRADO DE MADERA 1GAL - CHEMALAC EXTRA"
1690,ADITIVO SELLADOR,,,,ADITIVO SELLADOR
1691,"L
22,03
SELLADOR ACRÍLICO -BELLAFRAGUA TRANSPARENTE - LITRO",,,,"L
22,03
SELLADOR ACRÍLICO -BELLAFRAGUA TRANSPARENTE - LITRO"
1692,POLIURETANO PARA PISOS,,,,POLIURETANO PARA PISOS
1693,"GAL
211,02
CHEMATHANE POLIURETANO PARA PISOS - GALON",,,,"GAL
211,02
CHEMATHANE POLIURETANO PARA PISOS - GALON"
1694,MORTERO AUTONIVELANTE,,,,MORTERO AUTONIVELANTE
1695,"MORTERO EXPANSIVO -CHEMA GROUT - 25 KG. MORTERO EXPANSIVO 
KG
50,00
-CHEMA GROUT - 25 KG.",,,,"MORTERO EXPANSIVO -CHEMA GROUT - 25 KG. MORTERO EXPANSIVO 
KG
50,00
-CHEMA GROUT - 25 KG."
1696,"KG
46,61
MORTERO AUTONIVELANTE -CHEMA LISTO  - 25 KILOS",,,,"KG
46,61
MORTERO AUTONIVELANTE -CHEMA LISTO  - 25 KILOS"
1697,ADITIVO INHIBIDOR DE LA CORROSIÓN,,,,ADITIVO INHIBIDOR DE LA CORROSIÓN
1698,"GAL
46,61
INHIBIDOR DE LA CORROSIÓN -CHEMA - 01 GALON",,,,"GAL
46,61
INHIBIDOR DE LA CORROSIÓN -CHEMA - 01 GALON"
1699,REMOVEDOR DE INCRUSTACIONES DE FRAGUA Y CEMENTO,,,,REMOVEDOR DE INCRUSTACIONES DE FRAGUA Y CEMENTO
1700,"REMOVEDOR DE INCRUSTACIONES DE FRAGUA Y CEMENTO -CHEMA 
L
16,86
REMOVE LITRO",,,,"REMOVEDOR DE INCRUSTACIONES DE FRAGUA Y CEMENTO -CHEMA 
L
16,86
REMOVE LITRO"
1701,Descuentos de acuerdo a volumen,,,,Descuentos de acuerdo a volumen
1702,CABLES DE ACERO,,,,CABLES DE ACERO
1703,"CABLE DE ACERO TIPO BOA 6X19 CON ALMA DE ACERO 1/4"" ENGRASADO",M,"2,8",,CABLES DE ACERO
1704,"CABLE DE ACERO TIPO BOA 6X19 CON ALMA DE ACERO 5/16"" ENGRASADO",M,"3,8",,CABLES DE ACERO
1705,"CABLE DE ACERO TIPO BOA 6X19 CON ALMA DE ACERO 3/8"" ENGRASADO",M,5,,CABLES DE ACERO
1706,"CABLE DE ACERO TIPO BOA 6X19 CON ALMA DE ACERO 1/2"" ENGRASADO",M,8,,CABLES DE ACERO
1707,"CABLE DE ACERO TIPO BOA 6X19 CON ALMA DE ACERO 1/4"" GALVANIADO",M,"3,3",,CABLES DE ACERO
1708,"CABLE DE ACERO TIPO BOA 6X19 CON ALMA DE ACERO 5/16""  GALVANIZADO",M,4,,CABLES DE ACERO
1709,"CABLE DE ACERO TIPO BOA 6X19 CON ALMA DE ACERO 3/8"" GALVANIZADO",M,6,,CABLES DE ACERO
1710,"CABLE DE ACERO TIPO BOA 6X19 CON ALMA DE ACERO 1/2"" GALVANIZADO",M,"9,5",,CABLES DE ACERO
1711,TECLES  MANUALES,,,,TECLES  MANUALES
1712,TECLE MANUAL A CADENA 0.5 TON MARCA TRUPER CON CADENA DE 3M G-80,PZA,315,,TECLES  MANUALES
1713,TECLE MANUAL A CADENA 1 TON MARCA TRUPER CON CADENA DE 3M G-80,PZA,370,,TECLES  MANUALES
1714,TECLE MANUAL A CADENA 1.5 TON MARCA TRUPER CON CADENA DE 3M G-80,PZA,450,,TECLES  MANUALES
1715,TECLE MANUAL A CADENA 2.0 TON MARCA TRUPER CON CADENA DE 3M G-80,PZA,500,,TECLES  MANUALES
1716,TECLE MANUAL A CADENA 3.0 TON MARCA TRUPER CON CADENA DE 3M G-80,PZA,645,,TECLES  MANUALES
1717,TECLE MANUAL A CADENA 5.0 TON MARCA TRUPER CON CADENA DE 3M G-80,PZA,1000,,TECLES  MANUALES
1718,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION,,,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1719,"PLANCHA POLIESTIRENO EXPANDIDO 1/4""  2.44 X 1.22 M D=19 KG/M3",PZA,7,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1720,"PLANCHA POLIESTIRENO EXPANDIDO 1/2"" 2.44 X 1.22 M D=21 KG/M3",PZA,"5,93",,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1721,"PLANCHA POLIESTIRENO EXPANDIDO 3/4"" 2.44 X 1.220  M D=19 KG/M3",PZA,"8,05",,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1722,"PLANCHA POLIESTIRENO EXPANDIDO 1"" 2.44 X 1.22 M D=25 KG/M3",PZA,"10,17",,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1723,"PLANCHA POLIESTIRENO EXPANDIDO 1.1/2"" 2.44 X 1.22 M D=21 KG/M3",PZA,"15,25",,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1724,"PLANCHA POLIESTIRENO EXPANDIDO 2"" 2.44 X 1.22 M D=21 KG/M3",PZA,"20,34",,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1725,"PLANCHA POLIESTIRENO EXPANDIDO 2.1/2"" 2.44 X 1.22 M D=21 KG/M3",PZA,88,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1726,"PLANCHA POLIESTIRENO EXPANDIDO 3"" 2.44 X 1.22 M D=21 KG/M3",PZA,"30,52",,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1727,"PLANCHA POLIESTIRENO EXPANDIDO 1/4""  2.44 X 1.22 M D=25 KG/M3",PZA,12,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1728,"PLANCHA POLIESTIRENO EXPANDIDO 1/4"" 2.44 X 1.22 M D=21 KG/M3",PZA,9,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1729,"PLANCHA POLIESTIRENO EXPANDIDO 3 1/2""  2.44 X 1.22 M D=19 KG/M3",PZA,95,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1730,"PLANCHA POLIESTIRENO EXPANDIDO 4""  2.44 X 1.22 M D=21 KG/M3",PZA,140,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1731,"PLANCHA POLIESTIRENO EXPANDIDO 5""  2.44 X 1.22 M D=19 KG/M3",PZA,135,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1732,"PLANCHA POLIESTIRENO EXPANDIDO 6""  2.44 X 1.22 M D=19 KG/M3",PZA,162,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1733,"PLANCHA POLIESTIRENO EXPANDIDO 7""  2.44 X 1.22 M D=19 KG/M3",PZA,189,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1734,"PLANCHA POLIESTIRENO EXPANDIDO 8""  2.40 X 1.20 M D=19 KG/M3",PZA,"81,36",,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1735,"PLANCHA POLIESTIRENO EXPANDIDO 1/2""  2.44 X 1.22 M D=25 KG/M3",PZA,23,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1736,"PLANCHA POLIESTIRENO EXPANDIDO 1/2""  2.44 X 1.22 M D=19 KG/M3",PZA,14,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1737,"PLANCHA POLIESTIRENO EXPANDIDO 3/4""  2.44 X 1.22 M D=21 KG/M3",PZA,27,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1738,"PLANCHA POLIESTIRENO EXPANDIDO 3/4""  2.44 X 1.22 M D=25 KG/M3",PZA,34,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1739,"PLANCHA POLIESTIRENO EXPANDIDO 1"" 2.44 X 1.22 M D=19 KG/M3",PZA,27,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1740,"PLANCHA POLIESTIRENO EXPANDIDO 1"" 2.44 X 1.22 M D=21 KG/M3",PZA,35,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1741,"PLANCHA POLIESTIRENO EXPANDIDO 1.1/2"" 2.44 X 1.22 M D=19 KG/M3",PZA,41,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1742,"PLANCHA POLIESTIRENO EXPANDIDO 1.1/2"" 2.44 X 1.22 M D=25 KG/M3",PZA,68,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1743,"PLANCHA POLIESTIRENO EXPANDIDO 2"" 2.44 X 1.22 M D=25 KG/M3",PZA,90,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1744,"PLANCHA POLIESTIRENO EXPANDIDO 2"" 2.44 X 1.22 M D=19 KG/M3",PZA,54,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1745,"PLANCHA POLIESTIRENO EXPANDIDO 2 1/4""  2.44 X 1.22 M D=19 KG/M3",PZA,57,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1746,"PLANCHA POLIESTIRENO EXPANDIDO 2 1/4""  2.44 X 1.22 M D=21 KG/M3",PZA,79,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1747,"PLANCHA POLIESTIRENO EXPANDIDO 2 1/4""  2.44 X 1.22 M D=25 KG/M3",PZA,102,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1748,"PLANCHA POLIESTIRENO EXPANDIDO 2 1/2""  2.44 X 1.22 M D=25 KG/M3",PZA,113,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1749,"PLANCHA POLIESTIRENO EXPANDIDO 3"" 2.44 X 1.22 M D=19 KG/M3",PZA,81,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
1750,"PLANCHA POLIESTIRENO EXPANDIDO 3""  2.44 X 1.22 M D=25 KG/M3",PZA,135,,PLANCHA TERMOPOR (POLIESTIRENO EXPANDIDO) P/CONSTRUCCION
